Seq,Task ID,Title,Category,Implementation Status,Requirement Ref,Screen,Route,Page Entry,Depends On,Expected Files,Priority,Verify,Detail File,wave_id
1,PAGE-SCR001,메인 페이지 조립,Page Owner,IMPLEMENT,"REQ-FUNC-070, REQ-NF-001, REQ-NF-002, REQ-NF-003, REQ-NF-023, REQ-NF-025, REQ-NF-030",SCR-001,`/`,`src/app/page.tsx`,"COMP-SCR001-HERO-SEARCH, COMP-SCR001-DOMESTIC-GRID, COMP-SCR001-OVERSEAS-GRID, COMP-SCR001-THEME-CHIPS, COMP-SCR001-SAFETY-PANEL, COMP-SCR001-MATES-TEASER, COMP-SCR001-FOUNDER-BAND, COMP-SCR001-DEST-DRAWER, COMP-GLOBAL-HEADER-FOOTER, COMP-GLOBAL-TOAST, COMP-GLOBAL-EMPTY-STATE, COMP-GLOBAL-LOADING-STATE, COMP-GLOBAL-ERROR-STATE, DATA-DESTINATIONS, DATA-SAFETY, DATA-REPRESENTATIVE",`src/app/page.tsx`(기존 create-next-app 기본 코드 전체 교체),P0,"E2E-PUBLIC-SMOKE, MANUAL-RESPONSIVE-DENSITY",TASK-PAGE-SCR001.md,W11
2,PAGE-SCR002,대표 소개 페이지 조립,Page Owner,IMPLEMENT,"REQ-FUNC-070, REQ-NF-001, REQ-NF-002, REQ-NF-003, REQ-NF-023, REQ-NF-025, REQ-NF-030",SCR-002,`/about`,`src/app/about/page.tsx`,"COMP-SCR002-HERO, COMP-SCR002-STATS, COMP-SCR002-INTRO, COMP-SCR002-TIMELINE, COMP-SCR002-COUNTRY-CHIPS, COMP-SCR002-GALLERY, COMP-SCR002-MEMORABLE-CTA, COMP-GLOBAL-HEADER-FOOTER, DATA-REPRESENTATIVE",`src/app/about/page.tsx`(신규 생성),P1,"E2E-PUBLIC-SMOKE, MANUAL-RESPONSIVE-DENSITY",TASK-PAGE-SCR002.md,W13
3,PAGE-SCR003,통합 여행 준비 페이지 조립,Page Owner,IMPLEMENT,"REQ-FUNC-070, REQ-NF-001, REQ-NF-002, REQ-NF-003, REQ-NF-023, REQ-NF-025, REQ-NF-030",SCR-003,`/travel-tools`,`src/app/travel-tools/page.tsx`,"COMP-SCR003-INTRO-TABS-SHELL, COMP-SCR003-FLIGHT-FORM, COMP-SCR003-HOTEL-FORM, COMP-SCR003-SUMMARY-ACTION, COMP-SCR003-TIPS, COMP-SCR003-MATE-WRITE-FORM, COMP-SCR003-MATE-LOGIN-GATE, COMP-GLOBAL-HEADER-FOOTER, COMP-GLOBAL-TOAST, COMP-GLOBAL-LOADING-STATE, COMP-GLOBAL-ERROR-STATE",`src/app/travel-tools/page.tsx`(신규 생성),P0,"E2E-TRAVEL-TOOLS, UNIT-TRAVEL-DATES, MANUAL-RESPONSIVE-DENSITY",TASK-PAGE-SCR003.md,W17
4,PAGE-SCR004,동행 조회 페이지 조립,Page Owner,IMPLEMENT,"REQ-FUNC-070, REQ-NF-001, REQ-NF-002, REQ-NF-003, REQ-NF-023, REQ-NF-025, REQ-NF-030",SCR-004,`/mates`,`src/app/mates/page.tsx`,"COMP-SCR004-FILTER-BAR, COMP-SCR004-POST-LIST, COMP-SCR004-DETAIL-PANEL, COMP-SCR004-APPLY-FORM, COMP-SCR004-REPORT-ACTION, COMP-SCR004-BLOCK-ACTION, COMP-GLOBAL-HEADER-FOOTER, COMP-GLOBAL-EMPTY-STATE, COMP-GLOBAL-LOADING-STATE, COMP-GLOBAL-ERROR-STATE, API-MATE-POSTS",`src/app/mates/page.tsx`(신규 생성),P0,"E2E-MATE-AUTH, TEST-RLS-BASIC, MANUAL-RESPONSIVE-DENSITY",TASK-PAGE-SCR004.md,W22
5,PAGE-SCR005,계정·관리 페이지 조립,Page Owner,IMPLEMENT,"REQ-FUNC-070, REQ-NF-001, REQ-NF-002, REQ-NF-003, REQ-NF-023, REQ-NF-025, REQ-NF-030",SCR-005,`/account`,`src/app/account/page.tsx`,"COMP-SCR005-AUTH, COMP-SCR005-PROFILE, COMP-SCR005-MY-ACTIVITY, COMP-SCR005-ADMIN-REPORTS, COMP-SCR005-ADMIN-URL-SETTINGS, COMP-GLOBAL-HEADER-FOOTER, COMP-GLOBAL-EMPTY-STATE, COMP-GLOBAL-LOADING-STATE, COMP-GLOBAL-ERROR-STATE, API-AUTH-PROFILE",`src/app/account/page.tsx`(신규 생성),P0,"E2E-MATE-AUTH, TEST-RLS-BASIC, MANUAL-RESPONSIVE-DENSITY",TASK-PAGE-SCR005.md,W25
6,COMP-SCR001-HERO-SEARCH,검색 Hero,Component,IMPLEMENT,"REQ-FUNC-003, REQ-FUNC-067, REQ-NF-004",SCR-001,`/`,`src/app/page.tsx`,COMP-GLOBAL-DESIGN-TOKENS,`src/components/home/HeroSearch.tsx`,P0,E2E-PUBLIC-SMOKE,TASK-COMP-SCR001-HERO-SEARCH.md,W08
7,COMP-SCR001-DOMESTIC-GRID,국내 여행지 6개 Card,Component,IMPLEMENT,"REQ-FUNC-001, REQ-FUNC-002, REQ-FUNC-005, REQ-FUNC-068",SCR-001,`/`,`src/app/page.tsx`,"DATA-DESTINATIONS, COMP-SCR001-DEST-DRAWER",`src/components/home/DomesticGrid.tsx`,P0,E2E-PUBLIC-SMOKE,TASK-COMP-SCR001-DOMESTIC-GRID.md,W09
8,COMP-SCR001-OVERSEAS-GRID,해외 여행지 6개 Card,Component,IMPLEMENT,"REQ-FUNC-001, REQ-FUNC-002, REQ-FUNC-005, REQ-FUNC-006, REQ-FUNC-068",SCR-001,`/`,`src/app/page.tsx`,"DATA-DESTINATIONS, COMP-SCR001-DEST-DRAWER, COMP-SCR001-SAFETY-PANEL",`src/components/home/OverseasGrid.tsx`,P0,E2E-PUBLIC-SMOKE,TASK-COMP-SCR001-OVERSEAS-GRID.md,W09
9,COMP-SCR001-DEST-DRAWER,여행지 상세 Drawer,Component,IMPLEMENT,"REQ-FUNC-004, REQ-FUNC-009, REQ-FUNC-069",SCR-001,`/`,`src/app/page.tsx`,DATA-DESTINATIONS,`src/components/home/DestinationDrawer.tsx`,P1,E2E-PUBLIC-SMOKE,TASK-COMP-SCR001-DEST-DRAWER.md,W08
10,COMP-SCR001-THEME-CHIPS,여행 동기 6개 Chip,Component,IMPLEMENT,"REQ-FUNC-002, REQ-FUNC-010",SCR-001,`/`,`src/app/page.tsx`,"COMP-SCR001-DOMESTIC-GRID, COMP-SCR001-OVERSEAS-GRID",`src/components/home/ThemeChips.tsx`,P1,E2E-PUBLIC-SMOKE,TASK-COMP-SCR001-THEME-CHIPS.md,W10
